rate,avgbs
1.423811,69.04545454545455
0.883692,56.09090909090909
3.721692,73.5909090909091
1.005111,65.77272727272727
4.236099,70.45454545454545
0.548539,69.02702702702703
1.190777,83.17142857142858
0.939467,69.58333333333333
0.665422,59.84
5.730407,76.46184738955823
0.116521,67.15789473684211
0.444912,70.57894736842105
0.085287,43.8235294117647
5.435014,59.291666666666664
2.691847,84.13793103448276
1.98265,71.21052631578948
0.37252,71.94871794871794
0.957773,84.28571428571429
0.287842,66.7
3.267495,54.25
1.258613,82.0754716981132
1.921059,77.76
1.227622,84.88888888888889
1.518571,62.0
4.065836,87.5
2.051802,89.0
2.600197,65.52
2.402826,83.6
3.377486,68.26
1.49241,65.48913043478261
0.294677,68.10526315789474
1.407437,69.87096774193549
3.040111,83.0
0.462687,58.6
0.981807,69.04571428571428
2.203229,78.82758620689656
0.126004,61.92307692307692
2.329499,86.16666666666667
0.568676,87.0625
0.201337,60.95652173913044
0.478867,75.51851851851852
0.596618,74.04761904761905
1.641328,75.53333333333333
10.301917,73.16814159292035
0.396387,85.66666666666667
0.26429,82.45454545454545
2.246353,77.54545454545455
0.252671,64.68181818181819
1.607839,64.9
8.064454,88.0
3.84729,89.5
0.044683,34.464285714285715
0.987876,75.66666666666667
0.966717,65.39393939393939
0.205477,53.3125
5.1975,62.166666666666664
2.360039,76.42857142857143
0.031903,48.26315789473684
2.119188,82.74012158054711
7.008657,69.51515151515152
1.351007,56.75
0.135415,53.758620689655174
0.24416,76.0
0.039561,43.27407407407407
0.845713,72.34782608695652
0.008572,27.048780487804876
1.185152,79.35714285714286
1.09855,85.45454545454545
1.312326,74.88888888888889
1.89793,68.65
0.990335,71.04255319148936
2.289116,68.78260869565217
6.994365,97.875
0.399107,71.21739130434783
2.011948,76.66666666666667
5.582353,69.76
6.203828,67.42105263157895
4.499189,78.30434782608695
0.513818,82.9090909090909
2.127353,71.0
1.719043,71.65625
1.778509,79.25
2.399159,83.88888888888889
1.048454,71.9090909090909
0.871559,68.5
0.569397,67.0909090909091
0.09836,54.48888888888889
2.44198,78.08333333333333
1.999436,62.246153846153845
0.85186,72.16666666666667
0.950683,68.63414634146342
3.450447,94.22222222222223
0.126117,62.21951219512195
2.153805,53.45454545454545
6.931643,84.125
0.017067,34.58139534883721
0.26112,66.5125
1.637562,70.2
5.070313,73.3225806451613
1.330927,77.25
3.553448,63.166666666666664
2.652708,54.68421052631579
0.673887,69.56666666666666
1.582657,54.18181818181818
0.972327,54.45454545454545
0.618057,85.33333333333333
3.432644,71.53571428571429
3.384648,64.51851851851852
4.377741,77.36363636363636
1.106495,83.85714285714286
0.416657,71.91489361702128
1.530103,70.97435897435898
0.373274,63.95454545454545
1.856001,65.45454545454545
4.472786,78.8125
1.462899,46.51851851851852
0.074138,73.85714285714286
0.362052,70.875
2.473348,68.09756097560975
0.870348,72.83333333333333
1.216998,62.35
0.623268,75.5
4.06703,84.0
1.5753,74.07692307692308
3.176218,90.10714285714286
2.606218,68.39393939393939
0.806652,70.29032258064517
0.198461,61.09090909090909
4.05702,89.62857142857143
1.062705,89.26666666666667
0.562742,68.60526315789474
1.161752,77.14285714285714
0.214897,60.77272727272727
0.779849,63.206896551724135
3.217262,75.92307692307692
5.333144,76.61904761904762
1.681496,93.51724137931035
1.822201,84.83333333333333
0.747986,54.298701298701296
0.954574,61.18181818181818
3.145213,73.39393939393939
1.786894,80.96428571428571
1.74738,76.64102564102564
0.644729,81.47368421052632
0.099851,46.285714285714285
0.61531,60.31818181818182
0.236312,60.166666666666664
3.794202,71.36363636363636
6.600052,87.5
1.64827,65.05555555555556
0.45894,46.76923076923077
3.949056,79.53846153846153
3.757011,83.14285714285714
0.756948,65.33333333333333
1.535057,86.33333333333333
2.578471,86.88888888888889
0.642892,75.65555555555555
0.214471,48.77777777777778
4.424364,69.21212121212122
2.238069,64.0
0.897721,82.5
2.085891,91.4090909090909
4.202036,69.95238095238095
3.27829,78.70588235294117
2.821835,83.47826086956522
1.600053,85.30434782608695
