seed,gtnum,sites,duprate,lossrate,transferrate,pop,indelible_rate,avg_bs,nb_leaves,avg_brlen,height,max_copy,mean_copy,rf_eccetera,rf_iqtree
3017,79,300,0.5,0.5,1.0,10,1.444047,77.08695652173913,26,0.04159794719999999,0.45223645999999995,2,1.04,0.17391304347826086,0.17391304347826086
3017,80,300,0.5,0.5,1.0,10,3.302619,70.19047619047619,24,0.03359558195652175,0.49075433,1,1.0,0.0,0.2857142857142857
3017,81,300,0.5,0.5,1.0,10,3.1137,69.31818181818181,25,0.053580012083333316,0.4916066,1,1.0,0.3181818181818182,0.22727272727272727
3017,82,300,0.5,0.5,1.0,10,3.495367,71.75,11,0.08073414,0.54334401,2,1.1,0.0,0.0
3017,83,300,0.5,0.5,1.0,10,1.718465,73.18181818181819,25,0.04154114125,0.35997308,1,1.0,0.2727272727272727,0.2727272727272727
3017,84,300,0.5,0.5,1.0,10,3.132768,84.29411764705883,20,0.02377834368421052,0.24542129999999998,2,1.1764705882352942,0.11764705882352941,0.17647058823529413
3017,85,300,0.5,0.5,1.0,10,0.071446,26.333333333333332,21,0.060451834999999995,0.6055820599999999,1,1.0,0.2222222222222222,0.5555555555555556
3017,86,300,0.5,0.5,1.0,10,1.166077,83.96153846153847,29,0.0345289094642857,0.39257911,2,1.2608695652173914,0.19230769230769232,0.2692307692307692
3017,87,300,0.5,0.5,1.0,10,0.745823,62.8125,19,0.013282646111111109,0.1187176,2,1.0555555555555556,0.375,0.375
3017,88,300,0.5,0.5,1.0,10,0.020589,26.591836734693878,52,0.019647866568627454,0.2155067,7,2.736842105263158,0.6122448979591837,0.7551020408163265
3017,89,300,0.5,0.5,1.0,10,2.140531,79.0909090909091,14,0.026198552692307697,0.15419337000000002,2,1.2727272727272727,0.0,0.18181818181818182
3017,90,300,0.5,0.5,1.0,10,1.59388,74.24242424242425,36,0.04358248071428572,0.50919174,3,1.5,0.030303030303030304,0.21212121212121213
3017,91,300,0.5,0.5,1.0,10,0.370114,80.23076923076923,16,0.011319832000000002,0.20289583,4,3.2,0.23076923076923078,0.3076923076923077
3017,92,300,0.5,0.5,1.0,10,2.913454,69.6470588235294,37,0.03093147152777778,0.48550636,3,1.5416666666666667,0.0,0.23529411764705882
3017,93,300,0.5,0.5,1.0,10,0.061297,68.71428571428571,10,0.03509657555555556,0.36138683,1,1.0,0.5714285714285714,0.14285714285714285
3017,94,300,0.5,0.5,1.0,10,0.271343,54.39473684210526,41,0.026182953125000002,0.29947556999999997,5,2.2777777777777777,0.21052631578947367,0.3684210526315789
3017,95,300,0.5,0.5,1.0,10,4.435694,78.27272727272727,25,0.0172156775,0.15320213,2,1.0416666666666667,0.2727272727272727,0.22727272727272727
3017,96,300,0.5,0.5,1.0,10,0.990002,63.80952380952381,24,0.012580613695652176,0.09811418999999999,1,1.0,0.2857142857142857,0.3333333333333333
3017,97,300,0.5,0.5,1.0,10,0.124294,47.4375,51,0.029567582,0.57817137,3,2.125,0.6041666666666666,0.625
3017,98,300,0.5,0.5,1.0,10,0.542305,74.27272727272727,25,0.04628766,0.51164942,1,1.0,0.09090909090909091,0.4090909090909091
3017,99,300,0.5,0.5,1.0,10,1.178452,61.21052631578947,22,0.02126794952380952,0.13671725,2,1.1,0.15789473684210525,0.3684210526315789
3017,100,300,0.5,0.5,1.0,10,0.212681,100.0,5,0.049035827500000004,0.17484091000000002,1,1.0,0.0,0.0
3007,1,300,2,2,1.0,10,0.182468,75.0909090909091,14,0.13398487307692303,1.91224782,2,1.4,0.2727272727272727,0.09090909090909091
3007,2,300,2,2,1.0,10,1.626046,21.5,5,0.00521526125,0.021900750000000004,1,1.0,-1,-1
3007,3,300,2,2,1.0,10,0.229537,59.30769230769231,29,0.039566614642857136,0.59012344,2,1.16,0.4230769230769231,0.5
3007,4,300,2,2,1.0,10,3.878202,73.0,7,0.12968451500000003,0.70219465,2,1.75,0.25,0.5
3007,5,300,2,2,1.0,10,1.268615,75.98181818181818,58,0.03425032543859647,0.4626185,6,2.6363636363636362,0.2545454545454545,0.2545454545454545
3007,6,300,2,2,1.0,10,0.29344,58.92,28,0.08403515333333329,1.62321827,3,1.2173913043478262,0.24,0.32
3007,7,300,2,2,1.0,10,0.868915,68.6086956521739,26,0.10237250760000004,1.50038963,9,6.5,0.21739130434782608,0.2608695652173913
3007,8,300,2,2,1.0,10,2.351113,84.13793103448276,148,0.029864277823129254,0.6865062200000001,14,7.0476190476190474,0.13793103448275862,0.13793103448275862
3007,9,300,2,2,1.0,10,2.320013,69.91440953412784,926,0.02200556750270272,1.5995580799999998,60,44.095238095238095,0.25568797399783316,0.26543878656554715
3007,10,300,2,2,1.0,10,2.788794,83.0909090909091,14,0.06584852692307692,0.65244422,4,3.5,0.18181818181818182,0.18181818181818182
3007,11,300,2,2,1.0,10,0.786037,77.81003584229391,282,0.03482142798932387,1.3633204400000003,29,13.428571428571429,0.17204301075268819,0.2114695340501792
3007,12,300,2,2,1.0,10,3.340875,82.07142857142857,31,0.06626358350000001,1.75432853,2,1.24,0.17857142857142858,0.21428571428571427
3007,13,300,2,2,1.0,10,0.681757,91.0,9,0.20021219125,1.115775,4,2.25,0.0,0.0
3007,14,300,2,2,1.0,10,1.586822,93.57142857142857,17,0.04000852374999999,0.23315221,5,4.25,0.0,0.0
3007,15,300,2,2,1.0,10,3.073051,80.42307692307692,29,0.06987256374999998,0.83331951,2,1.3181818181818181,0.11538461538461539,0.15384615384615385
3007,16,300,2,2,1.0,10,1.970965,83.71929824561404,60,0.041715734661016954,0.7788813099999999,4,2.857142857142857,0.12280701754385964,0.12280701754385964
3007,17,300,2,2,1.0,10,0.429121,64.76923076923077,42,0.04725021804878048,1.43663655,14,10.5,0.20512820512820512,0.2564102564102564
3007,18,300,2,2,1.0,10,1.427209,87.19047619047619,24,0.06241605217391305,1.29569964,1,1.0,0.047619047619047616,0.047619047619047616
3007,19,300,2,2,1.0,10,0.37403,74.50420168067227,122,0.02357253962809917,0.8114380299999999,12,6.1,0.2605042016806723,0.29411764705882354
3007,20,300,2,2,1.0,10,5.354892,96.8,8,0.03601742357142857,0.18189343000000002,2,2.0,0.0,0.0
3007,21,300,2,2,1.0,10,3.195256,84.17021276595744,50,0.07082795387755102,1.6532612,3,2.0833333333333335,0.19148936170212766,0.10638297872340426
3007,22,300,2,2,1.0,10,1.519867,-1,3,0.018302045,0.03606358,1,1.0,-1,-1
3007,23,300,2,2,1.0,10,6.728682,96.66666666666667,9,0.006429920625,0.03851644,3,3.0,0.0,0.0
3007,24,300,2,2,1.0,10,0.211951,71.76190476190476,24,0.012673355217391307,0.11951238,5,4.0,0.19047619047619047,0.23809523809523808
3007,25,300,2,2,1.0,10,15.8452,97.0,5,0.036492357499999996,0.12694017,2,1.25,0.0,0.0
